2022-03-23:10:08:04	root	INFO	[Classes.py:482]	Init crawl on http://example.com
2022-03-23:10:08:04	root	INFO	[Functions.py:163]	Check edge: [get] ROOTREQ -(get None[False])-> [get] http://example.com
2022-03-23:10:08:04	root	INFO	[Functions.py:207]	Follow edge: [get] ROOTREQ -(get None[False])-> [get] http://example.com
2022-03-23:10:08:04	root	INFO	[Classes.py:1339]	Current url: http://example.com/
2022-03-23:10:08:04	root	INFO	[Classes.py:1340]	Crawl (edge): [get] ROOTREQ -(get None[False])-> [get] http://example.com
2022-03-23:10:08:04	root	DEBUG	[Urls.py:121]	URLs from extract_urls {[get] https://www.iana.org/domains/example}
2022-03-23:10:08:04	root	INFO	[Functions.py:833]	set_form_values got 0
2022-03-23:10:08:04	root	INFO	[Functions.py:846]	set_form_values returned 0
2022-03-23:10:08:04	root	INFO	[Classes.py:1449]	Adding requests from URLs
2022-03-23:10:08:04	root	INFO	[Classes.py:1451]	from URLs [get] https://www.iana.org/domains/example 
2022-03-23:10:08:04	root	DEBUG	[Functions.py:308]	Different origins http://example.com and https://www.iana.org/domains/example
2022-03-23:10:08:04	root	INFO	[Classes.py:1457]	Not allowed to add edge: [get] http://example.com -(get None[False])-> [get] https://www.iana.org/domains/example
2022-03-23:10:08:04	root	INFO	[Classes.py:1459]	Adding requests from froms
2022-03-23:10:08:04	root	INFO	[Classes.py:1470]	Adding requests from events
2022-03-23:10:08:04	root	INFO	[Classes.py:1482]	Adding requests from iframes
2022-03-23:10:08:04	root	INFO	[Classes.py:1494]	Adding requests from ui_forms
2022-03-23:10:08:04	root	ERROR	[Classes.py:564]	'WebDriver' object has no attribute 'switch_to_alert'
2022-03-23:10:08:04	root	ERROR	[Classes.py:566]	Top level error while crawling
2022-03-23:10:08:04	root	WARNING	[Classes.py:1292]	Falling back to GET
2022-03-23:10:08:04	root	WARNING	[Classes.py:1292]	Falling back to GET
2022-03-23:10:08:04	root	INFO	[Functions.py:163]	Check edge: [get] ROOTREQ -(get None[False])-> [get] http://example.com
2022-03-23:10:08:04	root	INFO	[Functions.py:207]	Follow edge: [get] ROOTREQ -(get None[False])-> [get] http://example.com
2022-03-23:10:08:04	root	INFO	[Classes.py:1339]	Current url: http://example.com/
2022-03-23:10:08:04	root	INFO	[Classes.py:1340]	Crawl (edge): [get] ROOTREQ -(get None[False])-> [get] http://example.com
2022-03-23:10:08:04	root	DEBUG	[Urls.py:121]	URLs from extract_urls {[get] https://www.iana.org/domains/example}
2022-03-23:10:08:04	root	INFO	[Functions.py:833]	set_form_values got 0
2022-03-23:10:08:04	root	INFO	[Functions.py:846]	set_form_values returned 0
2022-03-23:10:08:04	root	INFO	[Classes.py:1449]	Adding requests from URLs
2022-03-23:10:08:04	root	INFO	[Classes.py:1451]	from URLs [get] https://www.iana.org/domains/example 
2022-03-23:10:08:04	root	DEBUG	[Functions.py:308]	Different origins http://example.com and https://www.iana.org/domains/example
2022-03-23:10:08:04	root	INFO	[Classes.py:1457]	Not allowed to add edge: [get] http://example.com -(get None[False])-> [get] https://www.iana.org/domains/example
2022-03-23:10:08:04	root	INFO	[Classes.py:1459]	Adding requests from froms
2022-03-23:10:08:04	root	INFO	[Classes.py:1470]	Adding requests from events
2022-03-23:10:08:04	root	INFO	[Classes.py:1482]	Adding requests from iframes
2022-03-23:10:08:04	root	INFO	[Classes.py:1494]	Adding requests from ui_forms
2022-03-23:10:08:04	root	ERROR	[Classes.py:564]	'WebDriver' object has no attribute 'switch_to_alert'
2022-03-23:10:08:04	root	ERROR	[Classes.py:566]	Top level error while crawling
